# unassigned_PDBID  line_TMscore_max  TMscore_max  corresponding_PDBID  corresponding_SCOPID  topology  topology_string
1G33_A  1407  0.4608   1J7Q_A  d1j7qa_  0-2-2    -A+0.+B+0.+A+1.+B+1.
1G3O_A  1082  0.94627  1H98_A  d1h98a_  0-2-2    +B+0.-C+0.+C-1.-B-1.
1G6B_A  1082  0.94832  1H98_A  d1h98a_  0-2-2    +B+0.-C+0.+C-1.-B-1.
1GAO_A  1082  0.94785  1H98_A  d1h98a_  0-2-2    +B+0.-C+0.+C-1.-B-1.
1GAQ_B  363   0.90974  1CZP_A  d1czpa_  0-5-1    +B+0.-B+1.+C+0.-B-2.+B-3.+B-1.
1GB4_A  5621  0.81681  2IGD_A  d2igda_  0-4-1    +B+0.-B-1.+A+0.-B+2.+B+1.
1GCP_A  902   0.87211  1GCQ_C  d1gcqc_  0-3+4-0  +B+0.+E+0.+E-1.-B-1.+B-2.-E-2.+B+1.
1GD6_A  1259  0.96814  1IIZ_A  d1iiza_  1-3-1    +B+0.-B+1.+B+2.+A+0.-C+0.
1GDV_A  347   0.89459  1CTJ_A  d1ctja_  0-2-2    +C+0.+B+0.-B+1.+C+1.
1GH2_A  5620  0.95883  2IFQ_A  d2ifqa1  1-5-2    +B+0.-A+0.+B-2.-C+0.+B-1.-B-3.+B-4.-C-1.
1GJS_A  4868  0.40947  2AXY_A  d2axya1  0-3-2    +B+0.-C+0.+B+2.-B+1.+C-1.
1GJT_A  5621  0.42869  2IGD_A  d2igda_  0-4-1    +B+0.-B-1.+A+0.-B+2.+B+1.
1GJX_A  1342  0.74042  1IYV_A  d1iyva_  0-2+3-0  +B+0.+E+0.-E+1.+B-2.-B-1.
1GK5_A  449   0.39751  1DL0_A  d1dl0a_  0-2+3-0  +E+0.-B+0.+E+1.-B+2.+B+1.
1GL8_A  5620  0.76956  2IFQ_A  d2ifqa1  1-5-2    +B+0.-A+0.+B-2.-C+0.+B-1.-B-3.+B-4.-C-1.
1GM4_A  3682  0.42528  1UTX_A  d1utxa_  0-2-2    +B+0.-C+0.+C-1.+B-1.
1GMB_A  3682  0.41604  1UTX_A  d1utxa_  0-2-2    +B+0.-C+0.+C-1.+B-1.
1GMQ_A  1881  0.99314  1LNI_A  d1lnia_  0-6-1    +B+0.+C+0.+B+5.-B+4.+B+3.-B+2.+B+1.
1GN0_A  945   0.99873  1GMX_A  d1gmxa_  2-5-3    +B+0.-A+0.+B-3.-A-2.+B-4.-C+0.+B-2.-C+1.+B-1.-A-1.
1GO0_A  1073  0.94318  1H7M_A  d1h7ma_  2-4-2    -A+0.+B+0.-C+0.+B+2.-C+1.+B+3.-A-1.-B+1.
1GO1_A  1073  0.95227  1H7M_A  d1h7ma_  2-4-2    -A+0.+B+0.-C+0.+B+2.-C+1.+B+3.-A-1.-B+1.
1GO5_A  2153  0.39132  1NCS_A  d1ncsa_  0-3-1    +B+0.-B+1.+B+2.-A+0.
1GOU_A  16    0.98764  1A2P_A  d1a2pa_  1-6-1    +C+0.+B+0.-A+0.+B-1.-B-2.+B-3.-B-4.+B-5.
1GOV_A  16    0.98612  1A2P_A  d1a2pa_  1-6-1    +C+0.+B+0.-A+0.+B-1.-B-2.+B-3.-B-4.+B-5.
1GOY_A  16    0.98561  1A2P_A  d1a2pa_  1-6-1    +C+0.+B+0.-A+0.+B-1.-B-2.+B-3.-B-4.+B-5.
1GQ4_A  2917  0.8627   1R6J_A  d1r6ja_  0-4-1    +B+0.+B+2.-B+3.+C+0.-B+1.
1GQ5_A  5271  0.87573  2F5Y_A  d2f5ya1  0-4+4-0  +B+0.-E+0.-E-1.-E+1.+E+2.+B-2.-B-3.-B-1.
1GSP_A  1181  0.9987   1I0V_A  d1i0va_  0-2+5-0  +E+0.-E+1.-B+0.+B-1.-B-2.+B-3.-B-4.
1GUU_A  3582  0.44327  1UFM_A  d1ufma_  0-3-2    -A+0.+B+0.-A-1.+B-2.-B-1.
1GV5_A  3582  0.44329  1UFM_A  d1ufma_  0-3-2    -A+0.+B+0.-A-1.+B-2.-B-1.
1GVD_A  82    0.44103  1AOY_A  d1aoya_  0-3-1    +C+0.+B+0.-B+1.+B-1.
1GXG_A  1407  0.45823  1J7Q_A  d1j7qa_  0-2-2    -A+0.+B+0.+A+1.+B+1.
1GXH_A  2066  0.45304  1MSZ_A  d1msza_  0-3-2    -C+0.+B+0.-C+1.+B+2.-B+1.
1GXI_E  1430  0.72554  1JB0_E  d1jb0e_  0-2+4-0  +B+0.-E+0.-B-1.+B-2.-B-3.+E+1.
1GYA_A  2152  0.70717  1NCN_A  d1ncna_  0-3+5-0  +E+0.-B+0.+B+1.-B+2.+E+2.-E+1.+B-1.-B-2.
1GYZ_A  2966  0.42177  1RH6_A  d1rh6a_  0-3-2    +B+0.-C+0.+C+1.+B+2.-B+1.
1GZI_A  3557  0.98356  1UCS_A  d1ucsa_  0-2+3-0  +B+0.-E+0.+B+1.-B-1.+E-1.
1GZR_B  5351  0.40805  2FKL_A  d2fkla1  0-3-1    +B+0.-C+0.+B+2.-B+1.
1GZY_B  2131  0.41041  1N8M_A  d1n8ma_  0-3-1    +B+0.-C+0.+B+2.-B+1.
1GZZ_B  5351  0.40817  2FKL_A  d2fkla1  0-3-1    +B+0.-C+0.+B+2.-B+1.
1H02_B  5351  0.40493  2FKL_A  d2fkla1  0-3-1    +B+0.-C+0.+B+2.-B+1.
1H0J_A  5537  0.73242  2H8U_A  d2h8ua1  0-2+3-0  +E+0.-E+1.+B+0.-B+1.-B-1.
1H0L_A  1184  0.57778  1I17_A  d1i17a_  1-3-2    +B+0.+B+1.+B-1.-C+0.-A+0.+C+1.
1H0Z_A  2880  0.51543  1R0R_I  d1r0ri_  0-3-1    +B+0.-B-1.+A+0.-B+1.
1H1J_S  2153  0.42571  1NCS_A  d1ncsa_  0-3-1    +B+0.-B+1.+B+2.-A+0.
1H3L_A  3494  0.47675  1U2M_A  d1u2ma_  0-3-1    +B+0.-A+0.+B-1.+B+1.
1H4B_A  739   0.47805  1FF1_A  d1ff1a_  0-2-2    +B+0.-A+0.-B-1.+A+1.
1H4Y_A  1055  0.89274  1H4X_A  d1h4xa_  1-5-3    +B+0.-B+1.+A+0.-B+2.+A+1.-B+3.+A+2.-B+4.+C+0.
1H4Z_A  1055  0.92775  1H4X_A  d1h4xa_  1-5-3    +B+0.-B+1.+A+0.-B+2.+A+1.-B+3.+A+2.-B+4.+C+0.
1H5O_A  205   0.43625  1BNB_A  d1bnba_  0-4-0    +B+0.-B+3.-B+1.+B+2.
1H5P_A  2468  0.69596  1OQJ_A  d1oqja_  0-5-2    +B+0.-B+1.+B+2.-B+3.+C+0.-B-1.-C-1.
1H67_A  900   0.45729  1GCC_A  d1gcca_  0-3-1    +B+0.-B-1.+B-2.-C+0.
1H7C_A  819   0.55926  1FXK_A  d1fxka_  0-2-2    -C+0.+B+0.-B+1.+C+1.
1H7D_A  2131  0.28691  1N8M_A  d1n8ma_  0-3-1    +B+0.-C+0.+B+2.-B+1.
1H7V_A  5213  0.85106  2DSX_A  d2dsxa1  0-2+3-0  +B+0.-B-1.+E+0.-E-1.-B+1.
1H8K_A  3475  0.93195  1U06_A  d1u06a1  0-7      +B+0.-E+0.-B-4.+B-1.-B-2.+B-3.+E+1.
1H92_A  5625  0.86199  2IIM_A  d2iima1  0-3+4-0  +B+0.-E+0.+E-1.-B-1.+B-2.-E-2.+B+1.
1H95_A  276   0.75791  1C9O_A  d1c9oa_  0-4+4-0  +E+0.-B+0.+B-1.-B-2.+E+3.+B+1.-E+1.+E+2.
1H9C_A  1256  0.94629  1IIB_A  d1iiba_  1-4-2    +B+0.-A+0.+B-1.+B+1.-C+0.+B+2.-A+1.
1H9E_A  2113  0.42182  1N4N_A  d1n4na_  0-3-1    +B+0.-C+0.+B+2.-B+1.
1H9F_A  2153  0.42258  1NCS_A  d1ncsa_  0-3-1    +B+0.-B+1.+B+2.-A+0.
1HA6_A  1989  0.6327   1M8A_A  d1m8aa_  0-3-1    +B+0.-B-1.+B-2.-C+0.
1HA8_A  2131  0.34793  1N8M_A  d1n8ma_  0-3-1    +B+0.-C+0.+B+2.-B+1.
1HB6_A  1173  0.4444   1HYW_A  d1hywa_  0-2-2    -C+0.+B+0.-B+1.+C+1.
1HB8_A  1173  0.45209  1HYW_A  d1hywa_  0-2-2    -C+0.+B+0.-B+1.+C+1.
1HBK_A  1173  0.44692  1HYW_A  d1hywa_  0-2-2    -C+0.+B+0.-B+1.+C+1.
1HCV_A  3433  0.87345  1TVD_A  d1tvda_  0-4+4-0  +E+0.-E-1.+B+0.-B-1.+B-2.-E-3.+E-2.-B+1.
1HD3_A  3475  0.98918  1U06_A  d1u06a1  0-7      +B+0.-E+0.-B-4.+B-1.-B-2.+B-3.+E+1.
1HD4_A  4364  0.37778  1XJ1_A  d1xj1a_  0-4-0    +B+0.-B+1.+B+2.-B+3.
1HDL_A  880   0.3898   1G6X_A  d1g6xa_  0-3-1    +B+0.-B-1.-B+1.+C+0.
1HEH_C  530   0.81907  1E5C_A  d1e5ca_  0-4+4-0  +B+0.-B+1.+E+0.-B+3.+E+2.-E+1.+B+2.-E-1.
1HEJ_C  530   0.80836  1E5C_A  d1e5ca_  0-4+4-0  +B+0.-B+1.+E+0.-B+3.+E+2.-E+1.+B+2.-E-1.
1HFG_A  5335  0.83205  2FHT_A  d2fhta1  0-4-1    +B+0.-B-1.+B-2.-C+0.+B+1.
1HFN_A  5335  0.80709  2FHT_A  d2fhta1  0-4-1    +B+0.-B-1.+B-2.-C+0.+B+1.
1HG7_A  3557  0.97828  1UCS_A  d1ucsa_  0-2+3-0  +B+0.-E+0.+B+1.-B-1.+E-1.
1HGV_A  3284  0.41058  1T3U_A  d1t3ua_  0-2-2    +B+0.-B+1.+C+0.-C+1.
1HGZ_A  3284  0.39914  1T3U_A  d1t3ua_  0-2-2    +B+0.-B+1.+C+0.-C+1.
1HH0_A  3284  0.40043  1T3U_A  d1t3ua_  0-2-2    +B+0.-B+1.+C+0.-C+1.
1HH5_A  3682  0.44102  1UTX_A  d1utxa_  0-2-2    +B+0.-C+0.+C-1.+B-1.
1HH7_A  326   0.78762  1COT_A  d1cota_  0-3-1    -A+0.+B+0.-B-1.+B+1.
1HHN_A  2113  0.32936  1N4N_A  d1n4na_  0-3-1    +B+0.-C+0.+B+2.-B+1.
1HIP_A  5557  0.80059  2HIP_A  d2hipa_  0-2+4-0  +B+0.+E+0.+B-3.-B-2.+B-1.-E-1.
1HJ0_A  5328  0.34607  2FGG_A  d2fgga1  0-3-1    +B+0.-B+1.+B+2.-A+0.
1HJD_A  3475  0.80315  1U06_A  d1u06a1  0-7      +B+0.-E+0.-B-4.+B-1.-B-2.+B-3.+E+1.
1HJM_A  1184  0.59589  1I17_A  d1i17a_  1-3-2    +B+0.+B+1.+B-1.-C+0.-A+0.+C+1.
1HJN_A  1184  0.57823  1I17_A  d1i17a_  1-3-2    +B+0.+B+1.+B-1.-C+0.-A+0.+C+1.
1HK6_A  3541  0.90021  1UAD_C  d1uadc_  0-3+4-0  +B+0.-B+1.+E+0.-B+3.+B+2.-E-1.+E-2.
1HKO_A  357   0.79555  1CXY_A  d1cxya_  1-5-2    +B+0.-A+0.+B-3.-B-2.+C+0.+B-4.-C+1.+B-1.
1HOE_A  2435  0.99489  1OK0_A  d1ok0a_  0-3+4-0  +B+0.-E+0.+E+1.-B+2.+B+3.-E+2.+B+1.
1HPI_A  5557  0.82639  2HIP_A  d2hipa_  0-2+4-0  +B+0.+E+0.+B-3.-B-2.+B-1.-E-1.
1HPT_A  3354  0.83728  1TGS_I  d1tgsi_  0-3-1    +B+0.-B+1.+C+0.-B-1.
1HQI_A  742   0.48327  1FFG_B  d1ffgb_  0-4-2    +B+0.-C+0.+B+2.-B+1.+C-1.-B-1.
1HRC_A  326   0.72928  1COT_A  d1cota_  0-3-1    -A+0.+B+0.-B-1.+B+1.
1HRO_A  326   0.74171  1COT_A  d1cota_  0-3-1    -A+0.+B+0.-B-1.+B+1.
1HST_A  4388  0.64873  1XMK_A  d1xmka1  1-3-2    +C+0.+B+0.+A+0.+B-2.-B-1.+C-1.
1HUU_A  154   0.9549   1B8Z_A  d1b8za_  0-3-1    -C+0.+B+0.-B+1.+B+2.
1HYF_A  1181  0.99776  1I0V_A  d1i0va_  0-2+5-0  +E+0.-E+1.-B+0.+B-1.-B-2.+B-3.-B-4.
1HYP_A  1646  0.46473  1K8B_A  d1k8ba_  0-4-1    +B+0.-B-1.+C+0.-B-3.+B-2.
1HZ1_A  1181  0.99786  1I0V_A  d1i0va_  0-2+5-0  +E+0.-E+1.-B+0.+B-1.-B-2.+B-3.-B-4.
1HZ5_A  1174  0.9374   1HZ6_A  d1hz6a_  0-4-1    +B+0.-B-1.+A+0.-B+2.+B+1.
1I0C_A  3475  0.91531  1U06_A  d1u06a1  0-7      +B+0.-E+0.-B-4.+B-1.-B-2.+B-3.+E+1.
1I0X_A  1181  0.9887   1I0V_A  d1i0va_  0-2+5-0  +E+0.-E+1.-B+0.+B-1.-B-2.+B-3.-B-4.
1I27_A  3138  0.56239  1SFU_A  d1sfua_  1-3-1    -A+0.+B+0.-C+0.-B-2.+B-1.
1I2E_A  1181  0.99758  1I0V_A  d1i0va_  0-2+5-0  +E+0.-E+1.-B+0.+B-1.-B-2.+B-3.-B-4.
1I2F_A  1181  0.99537  1I0V_A  d1i0va_  0-2+5-0  +E+0.-E+1.-B+0.+B-1.-B-2.+B-3.-B-4.
1I2G_A  1181  0.99585  1I0V_A  d1i0va_  0-2+5-0  +E+0.-E+1.-B+0.+B-1.-B-2.+B-3.-B-4.
1I2T_A  2153  0.45396  1NCS_A  d1ncsa_  0-3-1    +B+0.-B+1.+B+2.-A+0.
1I3F_A  1181  0.99652  1I0V_A  d1i0va_  0-2+5-0  +E+0.-E+1.-B+0.+B-1.-B-2.+B-3.-B-4.
1I3I_A  1181  0.99841  1I0V_A  d1i0va_  0-2+5-0  +E+0.-E+1.-B+0.+B-1.-B-2.+B-3.-B-4.
1I54_A  326   0.73215  1COT_A  d1cota_  0-3-1    -A+0.+B+0.-B-1.+B+1.
1I55_A  326   0.73233  1COT_A  d1cota_  0-3-1    -A+0.+B+0.-B-1.+B+1.
1I70_A  1881  0.99171  1LNI_A  d1lnia_  0-6-1    +B+0.+C+0.+B+5.-B+4.+B+3.-B+2.+B+1.
1I71_A  184   0.44236  1BHT_A  d1bhta1  0-2+5-1  +B+0.-E+0.+B-4.-C+0.+B-2.-B-3.+E-1.-B-1.
1I77_A  3682  0.42853  1UTX_A  d1utxa_  0-2-2    +B+0.-C+0.+C-1.+B-1.
1I7A_A  417   0.89155  1DDW_A  d1ddwa_  0-5-1    +B+0.-B-1.-B+3.+B+2.-B+1.+A+0.
1I8O_A  326   0.78779  1COT_A  d1cota_  0-3-1    -A+0.+B+0.-B-1.+B+1.
1I8P_A  326   0.79876  1COT_A  d1cota_  0-3-1    -A+0.+B+0.-B-1.+B+1.
1I8V_A  1881  0.99181  1LNI_A  d1lnia_  0-6-1    +B+0.+C+0.+B+5.-B+4.+B+3.-B+2.+B+1.
1I92_A  2917  0.8622   1R6J_A  d1r6ja_  0-4-1    +B+0.+B+2.-B+3.+C+0.-B+1.
1I9E_A  783   0.85522  1FO0_A  d1fo0a_  0-4+5-0  +B+0.-B+1.+E+0.-E+1.+B+4.-B+3.+B+2.-E-1.+E-2.
1ICC_A  357   0.87714  1CXY_A  d1cxya_  1-5-2    +B+0.-A+0.+B-3.-B-2.+C+0.+B-4.-C+1.+B-1.
1ID2_A  3131  0.97881  1SFD_A  d1sfda_  0-5+5-0  +E+0.+E-3.-E-4.-B+0.+E-2.-B+3.+B+4.-E-1.+B+2.-B+1.
1IFD_A  3284  0.48826  1T3U_A  d1t3ua_  0-2-2    +B+0.-B+1.+C+0.-C+1.
1IFI_A  3284  0.48634  1T3U_A  d1t3ua_  0-2-2    +B+0.-B+1.+C+0.-C+1.
1IFJ_A  3284  0.49138  1T3U_A  d1t3ua_  0-2-2    +B+0.-B+1.+C+0.-C+1.
1IFM_A  3284  0.44772  1T3U_A  d1t3ua_  0-2-2    +B+0.-B+1.+C+0.-C+1.
1IFN_A  3284  0.44631  1T3U_A  d1t3ua_  0-2-2    +B+0.-B+1.+C+0.-C+1.
1IFP_A  3284  0.41054  1T3U_A  d1t3ua_  0-2-2    +B+0.-B+1.+C+0.-C+1.
1IG5_A  1407  0.52679  1J7Q_A  d1j7qa_  0-2-2    -A+0.+B+0.+A+1.+B+1.
1IGD_A  5621  0.99908  2IGD_A  d2igda_  0-4-1    +B+0.-B-1.+A+0.-B+2.+B+1.
1IGV_A  1407  0.52716  1J7Q_A  d1j7qa_  0-2-2    -A+0.+B+0.+A+1.+B+1.
1IHN_A  5154  0.83049  2CYJ_A  d2cyja1  0-3+5-2  +B+0.-B+1.+B+2.-E+0.+E+1.-A+0.+E-2.-A-1.+E-3.+E-1.
1IJR_A  1861  0.95955  1LKK_A  d1lkka_  1-6-1    +B+0.-A+0.+B-1.-B-2.+B-3.-B-4.+B-5.-C+0.
1IK7_A  3284  0.462    1T3U_A  d1t3ua_  0-2-2    +B+0.-B+1.+C+0.-C+1.
1IMX_A  5351  0.4032   2FKL_A  d2fkla1  0-3-1    +B+0.-C+0.+B+2.-B+1.
1IO3_A  326   0.72853  1COT_A  d1cota_  0-3-1    -A+0.+B+0.-B-1.+B+1.
1IQ9_A  5537  0.75212  2H8U_A  d2h8ua1  0-2+3-0  +E+0.-E+1.+B+0.-B+1.-B-1.
1IR0_A  1297  0.97654  1IQZ_A  d1iqza_  0-2+2-2  +E+0.-A+0.-B+0.+A+1.-E+1.+B+1.
1IRV_A  326   0.73286  1COT_A  d1cota_  0-3-1    -A+0.+B+0.-B-1.+B+1.
1IRW_A  326   0.73411  1COT_A  d1cota_  0-3-1    -A+0.+B+0.-B-1.+B+1.
1IU5_A  5213  0.90906  2DSX_A  d2dsxa1  0-2+3-0  +B+0.-B-1.+E+0.-E-1.-B+1.
1IU6_A  5213  0.90985  2DSX_A  d2dsxa1  0-2+3-0  +B+0.-B-1.+E+0.-E-1.-B+1.
1IU9_A  2066  0.51395  1MSZ_A  d1msza_  0-3-2    -C+0.+B+0.-C+1.+B+2.-B+1.
1IUA_A  5557  0.80666  2HIP_A  d2hipa_  0-2+4-0  +B+0.+E+0.+B-3.-B-2.+B-1.-E-1.
1IUE_A  363   0.94454  1CZP_A  d1czpa_  0-5-1    +B+0.-B+1.+C+0.-B-2.+B-3.+B-1.
1IUZ_A  2622  0.9538   1PLC_A  d1plca_  0-4+5-0  +E+0.-E-1.-B+0.+E+1.-B+3.+B+4.-E+2.+B+2.-B+1.
1IV7_A  5710  0.92154  2O9U_X  d2o9ux1  0-5-1    +B+0.+A+0.-B-1.+B-2.-B-3.+B-4.
1IV9_A  5710  0.92353  2O9U_X  d2o9ux1  0-5-1    +B+0.+A+0.-B-1.+B-2.-B-3.+B-4.
1J0O_A  3682  0.43693  1UTX_A  d1utxa_  0-2-2    +B+0.-C+0.+C-1.+B-1.
1J0P_A  3682  0.43375  1UTX_A  d1utxa_  0-2-2    +B+0.-C+0.+C-1.+B-1.
1J4H_A  196   0.97225  1BKF_A  d1bkfa_  0-5-1    +B+0.-B-3.+B-4.+C+0.-B-1.+B-2.
1J4I_A  196   0.97786  1BKF_A  d1bkfa_  0-5-1    +B+0.-B-3.+B-4.+C+0.-B-1.+B-2.
1J4R_A  196   0.96966  1BKF_A  d1bkfa_  0-5-1    +B+0.-B-3.+B-4.+C+0.-B-1.+B-2.
1J7A_A  363   0.99195  1CZP_A  d1czpa_  0-5-1    +B+0.-B+1.+C+0.-B-2.+B-3.+B-1.
1J7B_A  363   0.9916   1CZP_A  d1czpa_  0-5-1    +B+0.-B+1.+C+0.-B-2.+B-3.+B-1.
1J7C_A  363   0.99194  1CZP_A  d1czpa_  0-5-1    +B+0.-B+1.+C+0.-B-2.+B-3.+B-1.
1J8E_A  449   0.38567  1DL0_A  d1dl0a_  0-2+3-0  +E+0.-B+0.+E+1.-B+2.+B+1.
1JAB_A  3557  0.98459  1UCS_A  d1ucsa_  0-2+3-0  +B+0.-E+0.+B+1.-B-1.+E-1.
1JJD_A  2656  0.41079  1PTQ_A  d1ptqa_  0-3-1    +B+0.-B+1.+B+2.-A+0.
1JML_A  1174  0.73206  1HZ6_A  d1hz6a_  0-4-1    +B+0.-B-1.+A+0.-B+2.+B+1.
1JNU_A  2137  0.9139   1N9L_A  d1n9la_  0-5-1    +B+0.-B-1.+C+0.-B+3.+B+2.-B+1.
1JO8_A  3475  0.8803   1U06_A  d1u06a1  0-7      +B+0.-E+0.-B-4.+B-1.-B-2.+B-3.+E+1.
1JTB_A  3367  0.45426  1TIG_A  d1tiga_  0-4-2    +B+0.-C+0.+B+1.-C+1.+B+3.-B+2.
1JWO_A  2245  0.91686  1NRV_A  d1nrva_  1-4-1    +B+0.-C+0.+B+1.-B+2.+B+3.-A+0.
1JXG_A  2622  0.98333  1PLC_A  d1plca_  0-4+5-0  +E+0.-E-1.-B+0.+E+1.-B+3.+B+4.-E+2.+B+2.-B+1.
1JXT_A  183   0.92366  1BHP_A  d1bhpa_  0-2-2    +B+0.-A+0.+A+1.-B+1.
1JXU_A  183   0.92251  1BHP_A  d1bhpa_  0-2-2    +B+0.-A+0.+A+1.-B+1.
1JXW_A  183   0.92784  1BHP_A  d1bhpa_  0-2-2    +B+0.-A+0.+A+1.-B+1.
1JXX_A  183   0.92465  1BHP_A  d1bhpa_  0-2-2    +B+0.-A+0.+A+1.-B+1.
1JXY_A  183   0.92388  1BHP_A  d1bhpa_  0-2-2    +B+0.-A+0.+A+1.-B+1.
1JYU_A  1594  0.67713  1JYR_A  d1jyra_  1-4-1    +B+0.-C+0.+B+1.-B+2.+B+3.-A+0.
1JZA_A  5750  0.97436  2SN3_A  d2sn3a_  0-3-1    +B+0.-C+0.+B+2.-B+1.
1JZB_A  5750  0.96715  2SN3_A  d2sn3a_  0-3-1    +B+0.-C+0.+B+2.-B+1.
1K0T_A  1428  0.52364  1JB0_C  d1jb0c_  0-2+3-0  +E+0.+B+0.+B+2.-B+1.-E-1.
1K50_A  1174  0.90009  1HZ6_A  d1hz6a_  0-4-1    +B+0.-B-1.+A+0.-B+2.+B+1.
1K52_A  1174  0.93562  1HZ6_A  d1hz6a_  0-4-1    +B+0.-B-1.+A+0.-B+2.+B+1.
1K53_A  1174  0.93628  1HZ6_A  d1hz6a_  0-4-1    +B+0.-B-1.+A+0.-B+2.+B+1.
1K5B_A  58    0.92305  1AGI_A  d1agia_  0-4-1    +C+0.+B+0.-B-1.+B-2.-B-3.
1K6U_A  880   0.98011  1G6X_A  d1g6xa_  0-3-1    +B+0.-B-1.-B+1.+C+0.
1K9B_A  425   0.74225  1DF9_C  d1df9c_  0-5-0    +B+0.-B-1.-B-3.+B-2.-B+1.
1KDI_A  1683  0.99753  1KDJ_A  d1kdja_  0-4+4-0  +B+0.-B+1.-E+0.+B-1.-E-3.-B-2.+E-2.-E-1.
1KDU_A  5493  0.42794  2GQV_A  d2gqva1  0-3+3-0  +B+0.-B-1.+E+0.-E-1.+E-2.-B+1.
1KEB_A  5757  0.96543  2TRX_A  d2trxa_  1-5-2    +B+0.-C+0.+B+2.-A+0.+B+1.-B+3.+B+4.-A+1.
1KH0_A  1174  0.83358  1HZ6_A  d1hz6a_  0-4-1    +B+0.-B-1.+A+0.-B+2.+B+1.
1KIV_A  184   0.42921  1BHT_A  d1bhta1  0-2+5-1  +B+0.-E+0.+B-4.-C+0.+B-2.-B-3.+E-1.-B-1.
1KJT_A  948   0.96237  1GNU_A  d1gnua_  2-4-2    -C+0.-C-1.+B+0.-B-1.+A+0.-B+2.-A+1.+B+1.
1KLP_A  3693  0.5199   1UV7_A  d1uv7a_  0-2-2    +C+0.-C+1.+B+0.-B+1.
1KM8_A  2454  0.89651  1ONC_A  d1onca_  1-4-2    +B+0.-C+0.+B+1.-A+0.-B+2.+B+3.+A+1.
1KM9_A  2454  0.912    1ONC_A  d1onca_  1-4-2    +B+0.-C+0.+B+1.-A+0.-B+2.+B+3.+A+1.
1KNT_A  1759  0.94541  1KTH_A  d1ktha_  1-3-1    +B+0.-B-1.+A+0.-B+1.+C+0.
1KR7_A  3107  0.53486  1SB6_A  d1sb6a_  0-3-2    +B+0.-C+0.+B+2.-B+1.+C-1.
1KRN_A  184   0.43741  1BHT_A  d1bhta1  0-2+5-1  +B+0.-E+0.+B-4.-C+0.+B-2.-B-3.+E-1.-B-1.
1KU3_A  4131  0.47085  1WI9_A  d1wi9a_  0-3-2    -C+0.+B+0.-C+1.+B+2.-B+1.
1KW4_A  138   0.45214  1B4B_A  d1b4ba_  0-4-2    +B+0.-B-1.+C+0.-B-3.+B-2.-C+1.
1KX8_A  5114  0.44782  2CS7_A  d2cs7a1  0-2+3-0  +E+0.-E-1.-B+0.+B-1.-B-2.
1KX9_A  4131  0.45655  1WI9_A  d1wi9a_  0-3-2    -C+0.+B+0.-C+1.+B+2.-B+1.
1L0H_A  3693  0.536    1UV7_A  d1uv7a_  0-2-2    +C+0.-C+1.+B+0.-B+1.
1L0I_A  3693  0.53947  1UV7_A  d1uv7a_  0-2-2    +C+0.-C+1.+B+0.-B+1.
1L2P_A  3284  0.471    1T3U_A  d1t3ua_  0-2-2    +B+0.-B+1.+C+0.-C+1.
1L3X_A  563   0.42921  1ED7_A  d1ed7a_  0-2+3-0  +E+0.-B+0.+B+1.-E+1.-B+2.
1L9L_A  3138  0.50343  1SFU_A  d1sfua_  1-3-1    -A+0.+B+0.-C+0.-B-2.+B-1.
1LDS_A  1635  0.841    1K5N_B  d1k5nb_  0-3+4-0  +B+0.-B+1.+E+0.-B+3.+B+2.-E-1.+E-2.
1LFM_A  326   0.73175  1COT_A  d1cota_  0-3-1    -A+0.+B+0.-B-1.+B+1.
1LJ0_A  357   0.87773  1CXY_A  d1cxya_  1-5-2    +B+0.-A+0.+B-3.-B-2.+C+0.+B-4.-C+1.+B-1.
1LJP_A  817   0.46219  1FXD_A  d1fxda_  0-2-2    -C+0.+B+0.-B-1.+C-1.
1LN4_A  1536  0.93051  1JO0_A  d1jo0a_  1-4-2    +C+0.+B+0.-A+0.+B-1.-A-1.+B-3.-B-2.
1LN8_A  860   0.91497  1G4I_A  d1g4ia_  0-2-2    +C+0.+B+0.-B-1.+C-1.
1LOV_A  1181  0.99397  1I0V_A  d1i0va_  0-2+5-0  +E+0.-E+1.-B+0.+B-1.-B-2.+B-3.-B-4.
1LOW_A  1181  0.99602  1I0V_A  d1i0va_  0-2+5-0  +E+0.-E+1.-B+0.+B-1.-B-2.+B-3.-B-4.
1LOY_A  1181  0.99482  1I0V_A  d1i0va_  0-2+5-0  +E+0.-E+1.-B+0.+B-1.-B-2.+B-3.-B-4.
1LPL_A  3460  0.92134  1TXQ_A  d1txqa1  0-3+5-0  +B+0.-B-1.-B-3.+B-2.-E+0.+E-1.-E+1.+B+1.
1LQX_A  357   0.86266  1CXY_A  d1cxya_  1-5-2    +B+0.-A+0.+B-3.-B-2.+C+0.+B-4.-C+1.+B-1.
1LR6_A  357   0.86367  1CXY_A  d1cxya_  1-5-2    +B+0.-A+0.+B-3.-B-2.+C+0.+B-4.-C+1.+B-1.
1LR8_A  1895  0.99482  1LR7_A  d1lr7a2  1-3-1    +B+0.-B-1.+A+0.-B+1.+C+0.
1LR9_A  1895  0.93067  1LR7_A  d1lr7a2  1-3-1    +B+0.-B-1.+A+0.-B+1.+C+0.
1LRA_A  1181  0.98681  1I0V_A  d1i0va_  0-2+5-0  +E+0.-E+1.-B+0.+B-1.-B-2.+B-3.-B-4.
